topic,content,source_document,page_number
1. INTRODUCTION,"The construction industry nowadays requires the enhancement of several points in the planning and development since the use of papers, documents, and 2D drawings is not proficient any longer. This prompted the development of 3D advanced models that can be used to allow for better data management. This approach is known as Building Information Modeling (BIM).
BIM is changing how facilities are planned, designed, constructed, and operated. It has increased advanced development and innovations that will essentially change the construction industry and lead to the conveyance of an intelligent building environment. This changing innovation will enhance the profitability, the level of incorporation, and the coordinated effort over different levels in the development of projects. Since BIM is expected to develop and progress with time, the objective of this Code is to be used as a part of the business' endeavors to facilitate the use of BIM and to clarify the prerequisites for utilizing BIM at various projects' phases.
Through the use of computer-based simulations, BIM allows studying and validating the design and the construction plans of projects before their implementation. It is significantly more than a fundamental 3D model; it is a business approach that coordinates enormous amounts of project-related data. It moves clients far from the conventional ""document-centric"" approach, towards a ""data-centric"" approach which supports the lifecycle operation of the facility. It brings about a more powerful methodology for the stages of the design, estimation, scheduling, construction, and operation. In addition, BIM considers the combination of various developments over the different project stages such as project scheduling, automated quantity take-offs, automated material take-offs, and energy analysis, etc.
This BIM code is essentially a Best Practice that provides information needed to advance the knowledge and understanding of the Building Information Modeling (BIM) and the importance of its incorporation in the construction industry. It offers recommendations and guidance for achieving different levels of implementation of BIM in Egypt based on the current conditions of the construction industry. The Code discusses the main uses of BIM for the Integrated Delivery (ID) of projects, the key requirements for BIM implementation in construction projects, the workflow in BIM-based projects over the different project phases, and the basis for preparing BIM execution plans for projects. Also, it gives a brief overview on the implementation of BIM during the operational phase of projects.
Draft Edition –G01
page_number1/page_number
Issue Date: June 2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
2. SCOPE OF BIM CODE,"The Egyptian BIM Code of Practice offers guidance and recommendations for the implementation of BIM in construction projects. This document is formed to improve the processes of design, construction, information exchange, and communication between projects' stakeholders.
The information model is continuously developed whether through semantic or geometric data. This development needs to be carefully planned through BIM to acquire more confidence in the management and execution of the project.
img
A diagram illustrating the Project Information Delivery process.
The top section shows ""Project Information Model (PIM)"" extending horizontally.
The bottom section shows ""Common Data Environment"" with numbered phases: 01 Programming, 02 Conceptual Design, 03 Detailed Design, 04 Analysis, 05 Documentation, 06 Fabrication, 07 Construction 5D/4D, 08 Operation & Maintenance.
A dashed line connects the PIM to the Common Data Environment, indicating data flow.
Two dotted lines intersect the Common Data Environment, labeled ""Handling Over"".
The left dotted line is under ""Semantic Data"", and the right dotted line is under ""Geometric Data"".
At the far right, two additional models are shown: ""Asset Information Model (AIM)"" and ""End-of-Life Info.Model (EOILIMD)"".
An arrow at the bottom points to ""The Egyptian Code for Integrated Design Using Building Information Modeling"".
/img
Draft Edition –G01
page_number2/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
3.1. BIM OVERVIEW,"The complexity of the construction industry requires a higher level of details. Therefore, exchanging design models for design and construction in the form of papers and 2D drawings is not efficient any more. This led to the development of 3D digital models to be used in the construction industry for presenting and exchanging project information between project parties. This approach is known as BIM (Building Information Modeling).
BIM is a digital presentation of the whole project details, functions and information from initiation till close-out stage. BIM is a combination of several applications that are used through every stage to help in information exchange, coordination and communication between the project parties, also it allows the analysis and visualization of the delivered models.
Implementing BIM enables the occurrence of a huge transformation in the construction industry especially in projects that involve a high level of details, special manufactured items, large number of stakeholders, and high quality of designs and required outcomes.
By using BIM, there is no need for re-collecting and formatting information, all designs can be analyzed and revised before construction. Outputs can be checked by the stakeholders to offer a greater understanding throughout the project, higher quality of designs and construction activities can be obtained, higher ability for sharing data can be achieved between project stakeholders which allows taking correct decisions. All of these features and more offer an opportunity of reducing the project time and cost overrun, helping the project teams to reach a better collaboration, and seeing the project and its details as a real model before construction.
BIM is a multi-dimensional model which is not limited to 2D or 3D only but it spreads on a larger scale to reach 7D. This allows the integration and efficient utilization of all project data.",egy-code.md,1
3.2. BIM MATURITY LEVELS,"page_number3/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
imgA diagram showing BIM Maturity Levels.
The y-axis represents time, with Level 0 at the bottom and Level 3 at the top.
The x-axis represents the maturity level of BIM implementation.
Level 0 is represented by CAD.
Level 1 is represented by 2D, 3D.
Level 2 is divided into two sub-levels:
    - 2A: BIM
    - 2B: Overarching, Intelligent, Seamless Flow BIM
Level 3 is not labeled on this diagram./img
Level 0 BIM:This level supports no collaboration. In this stage, 2D CAD (Computer Aided Design tools) for drafting is adopted, but there is no incorporation of any BIM enabling software. Also, distribution of information is mainly via paper or electronic prints.
Level 1 BIM:This level represents the current level for most organizations that are involved in the construction sector. In this level, the collaboration is more augmented within the internal departments of the organization itself and 3D CAD models are more common. However, these models are mainly used for conceptual work. The attachment of data representing different aspects of the project into the model is minimal and 2D drawings are mostly used for documentation of work and production of shop drawings.
The nature of the current collaboration environment does not necessitate the presence of a single shared model accessible to all stakeholders. It comprises the sharing of data through common file formats like IFC (Industry Foundation Classes) and COBie (Construction Operations Building Information Exchange). Therefore, each party is entitled to use any type of BIM software on the condition that it is interoperable with the formats agreed upon for information exchange purpose.
Draft Edition –G01
page_number4/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Level 3 BIM:
This level represents the “Optimistic View” of collaboration among different construction stakeholders and throughout all the construction processes and disciplines. It is formulated by the presence of only one shared project that acts as a central hub. This project is accessible to all parties; thus, duplication or loss of information can be greatly eliminated. This environment is backed up by cyber security measures for protecting the ‘cloud-based’ data. It shall also require risk-sharing partnerships among all participants in the project. As such, a paperless project is extended till the execution of the project, where rugged tabs replace the conventional shop drawings.
Draft Edition –G01
page_number5/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
4. BIM USES,"BIM technology relies on three fundamental pillars, namely: Parametric object Modelling, Intelligent Modelling and Bi-directional Associativity.
Parametric Object Modelling:
BIM applies constraints that are similar to the hierarchy in an object-oriented programming. Where a class of a parametric BIM object allows the occurrence of numerous ‘instances’ in the model. Each instance inherits the parameters of the what’s called its belonging ‘family’ (the class it belongs to). Yet each instance has its own values for these parameters (called attributes). The structure of attributes remains the same for instances of the same family, while the values differ to distinguish the unique properties of each instance. These BIM objects may represent the physical building elements or other abstract elements like annotations or model lines. This concept which relies on the inheritance of attributes and methods in a hierarchical structure allows the building up of extensive taxonomies of objects with complex relations in an efficient manner. It’s worth mentioning that any attribute that has a visual effect on the related BIM object, once modified or updated, transforms the visual shape of the BIM object immediately with respect to the change that was done and that’s explained by the ‘Intelligent modelling’ concept.
Intelligent Modelling:
Based on what was explained in “parametric object modelling”, any change in one of the BIM instances is applied globally in all views and related documents. Unlike drafting CAD systems where lines and polygons representing one element are unconnected in each view, BIM objects, no matter any view, preserve their own properties. So, any change is applied to the BIM instance itself, independent of the view. Also, the structural hierarchy of BIM properties and attributes prohibits the duplication of a certain value and “intelligently” detects any discrepancy in them.
Bi-directional Associativity:
One of the key powers of BIM is what is called “Bi-directional Associativity”. They are rules and expressions that govern the way the surroundings of a BIM instance respond when an action is applied to this instance. The strength of any BIM authoring tool is in the degree of intelligence in applying bi-directional associativity such that:
The least manual modifications are needed from the user.The modifications applied to the surrounding BIM objects imitate the behavior of their real-world counterparts. For instance, when a wall is shifted, all BIM objects attached to this wall instance are expected to move with it.
These three pillars are the cornerstone in achieving the BIM uses that are described in below Sub-sections (Parametric Data, Time, Cost, Energy and Sustainability, and Facility Management). As such, BIM tools are superior in modelling building’s form, function and linking the change in its behavior.
Draft Edition –G01
page_number6/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
4.1. PARAMETRIC DATA
3D model can be created from the data given by the project stakeholders. This model enables them to understand the project clearly, to use the integrated information of the model, to determine their views and needs to update the model through the project lifecycle, and to identify and resolve construction problems before occurring on site. Clashes occur due to the incompatibility of drawings and designs of different disciplines, which are not discovered until construction begins causing great delays and conflicts on site. These problems are solved by BIM since these clashes can be detected and seen during design phase before the construction begins.
Further, the information extracted from the model helps in determining all aspects of prefabricated components to be assembled directly on site. As a result, more construction work can be performed offsite, cost efficiently, in factory-controlled conditions and to be efficiently installed afterwards.
The 3D model can help in site layout management where it contains temporary site components such as cranes, lorries, and other items. These components and visualization tools can be used in planning and monitoring the construction sequence as well as the on-site safety precautions as the project progresses. Schedule visualization can be performed by project stakeholders to be able to make sound decisions based on multiple sources of accurate real-time information. Within the BIM model a chart can be used to show the critical path and to visually show the dependency of some sequences on others. Visualization of different construction scenarios or the effect of design changes is enabled through the available BIM tools.
Quantity Takeoff is performed using the accurate information included in the model. The contractors and quantity surveyors can easily and quickly estimate quantities and costs of materials, areas, and other needed information. They do not need to do this manually so no over-consumed time or estimation errors occur. Cost data is added to each element in the model so that rough estimate of materials’ cost can be calculated automatically. This enables parties of the project, especially designers, to efficiently use value engineering.
4.4. ENERGY AND SUSTAINABILITY
A complete and accurate energy analysis can be performed in the project design phase where measurements and performances of the building during occupancy can be easily known from the model. This helps in reducing the energy consumption during operation phase.
page_number7/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
4.5. FACILITY MANAGEMENT,"The designer creates the model and during the construction phase, the model is updated till the release of ‘As built model’ which is submitted to the owner by the end of the project. The ‘As built’ model contains all specifications, operation and maintenance (O&M) manuals, and warranty information which are necessary for future maintenance. The advantage of this model is to reduce future problems during operation and maintenance phase.
During operation phase, the owner can take advantage of BIM, where sensors can record relevant data in this phase to be evaluated using BIM so it becomes easy to monitor building’s life cycle costs and optimize its cost efficiency. Also, it enables the owner to evaluate the cost-effectiveness of any proposed updates.
Draft Edition –G01
page_number8/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
5. MAIN REQUIREMENTS OF BIM IMPLEMENTATION,"BIM enables project stakeholders to better collaborate and share the experience through the project phases. This can be achieved by making the BIM Model more accessible and actionable for the entire project team. Implementing this collaboration requires several aspects as explained in the below Sections (Common Data Environment, Interoperability, and Model Structure).",egy-code.md,1
5.1. COMMON DATA ENVIRONMENT,"Work-in-Progress (WIP):
During this stage, in house team of the same discipline share drafts, development concepts, non-verified design data.
Upon the check, review and approval of design data according to pre-agreed standards (e.g., BS1192¹) workflow, coordination between disciplines shall occur. Each discipline-shared model should be accessible to all other disciplines. Data sharing is scheduled and documented in the BIM Execution Plan (BEP) to allow all disciplines to be working on the latest data and information. In case of changes and modification to the shared information, a method shall be defined and agreed upon for communicating such changes.
Published Documentation:
Client approval and authorization of the shared information precedes the creation of the published documentation for use by all project participants. (As in BS1192 section 4.2.4 and PAS1192-2² section 9.2)
All approved data shall be stored in the designated archive location for retrieval when needed.
¹ BS1192: Collaborative Production of Architectural, Engineering and Construction Information -Code of Practice published by the British Standard Institution (BSI). This code of practice sets out methods for managing the production, distribution, and quality of construction information.
² PAS1192: Publicly Available Specification. It is used for the information management in the delivery of construction projects using BIM. It is sponsored by the Construction Industry Council (CIC) and published by The British Standards Institution (BSI).
Draft Edition –G01
page_number9/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
graph TD
    A[SharedVerified design datashared with project teamsongoing designdevelopment] -->|Check, review,approve| B[Work-in-ProgressNon-verified data,design concept]
    B -->|Discipline 1| B
    B -->|Discipline 2| B
    B -->|Discipline 3| B
    C[PublishedDocumentationCoordinated design for useby all project teams] -->|Re-measured andverified as-built| D[ArchiveProject history maintainedfor knowledge andregulatory and legalrequirement]
    A -->|Clientauthorization| C",egy-code.md,1
5.2. INTEROPERABILITY,"Interoperability between software packages is of fundamental significance for fruitful BIM working. Whether it yields 2D CAD for consequent drawing creation or yield 3D for perception or examination, the planning and strategies used to develop the BIM will decide its fruitful application inside other software packages.",egy-code.md,1
5.2.1. Incoming Data Management,"In general, for the correct application of interoperability the following guidelines shall be followed:
A duplicate of received CAD/BIM information should be kept in its format in the project incoming subfolder.The appropriateness of received information might be affirmed before making it widely accessible through the project Shared area.Modifications of approaching CAD/BIM information need to be minimized. Only the person responsible for coordination shall have the right to perform modifications.
Draft Edition –G01
page_number10/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Interoperability, for 3D data and information exchange, shall be achieved between BIM software using the international standard (e.g. buildingSMART³), such as the IFC⁴ (Industry Foundation Classes) file format. The latest version is IFC 2x3.",egy-code.md,1
5.2.2. Intended Use of BIM Model,"Modeling is performed to the Level of Detail (LOD) required to create every discipline's plans and elevations precisely at the characterized scale, or to convey the Employer's Information Requirements (EIR) in the event that they exist.",egy-code.md,1
5.2.3. BIM Exchange between Software Platforms,"Preceding data exchange between various software platforms, the accompanying assignments shall be completed:
Conduct BIM kick-off meeting.Consider limitations, and requirements of software/hardware system, these issues shall be settled to ensure that BIM data can be prepared appropriately for exchange. This should be recorded in the project BIM Execution Plan (BEP).2D drawings from the BIM should be developed in a way that is consistent with CAD Standards and permits simple control of the information held inside the document (e.g. layering).Data exchange test shall be performed between different software/hardware systems to ensure data integrity.",egy-code.md,1
5.5. DIGITAL FABRICATION,"Digital fabrication is a process that ensures the direct flow of fabrication instructions and information from a digital design directly to the machines. The uses of digital fabrication in construction can be seen in the fabrication of metal sheets, ducts, pipe cutting, etc. Digital fabrication can also be used for creating prototypes of the building models for design intent reviews. Thus, digital fabrication ensures the integrity of information flow and thus waste streams are minimized throughout the manufacturing process.",egy-code.md,1
5.6.2. Electronic Deliverables,"For each phase or milestone of the project, BIM model must be submitted for it and all electronic files related to it. The data required from these deliverables is essentially a mature model that
Draft Edition –G01
page_number18/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
contains all the information needed for construction and final record drawings with all the coordination needed between all involved disciplines.
5.6.3. Final Deliverables
To fulfill the requirements of As-Built drawings and to ensure that BIMs are being updated, both the design team and construction team must cooperate together and coordinate with each other. The design team is the one responsible for the delivery of As-Built drawings.
5.6.4. Construction Record Documents
There must be a printed hard copy from the contract documents at the site as any deviation in the actual construction from the contract drawings must be highlighted in the contract drawings and resubmitted with the following requirements:
Any existing utilities in the construction area are provided with their location and detailed description.Any change in the building from the contract drawings and the effect on the utilities provided with its new location and detailed description.All underground utilities and facilities provided with the location and detailed description.Updated grade or alignment of roads, structures, and utilities if any changes were made from the contract drawings.Updated elevations if changes were made in site grading from the contract drawings.All changes or modifications from the original design and from the final inspection. Even if the materials used have been changed not only the changes in design.
These deviations or changes must be continuously highlighted by the contractor during construction to keep them up to date. This operation must be conducted during the lifecycle of the construction and these documents must be available all the time for inspection.
Draft Edition –G01
page_number19/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
6. WORKFLOW OVER PROJECT LIFECYCLE,"This section shows how the integration in the design will be implemented in the different phases of the project over its lifecycle from the Pre-design phase to Post Occupancy phase.
BIM shall be used to create a framework for the different project participants in order to improve the coordination by creating all the design and construction deliverables as well as the data for installations using BIM models.
BIM models shall be provided throughout the different phases of the project with specific requirements that are different from one phase to the other as follows:",egy-code.md,1
6.1. BIM MANAGEMENT PLAN,"In this phase, a BIM Management Plan (BMP) shall be required in order to show how the project will be executed, monitored and controlled regarding the BIM, and also to assign the roles for the model creation before the project initiation.
The BMP shall be concerned with the design and construction activities, and it shall be continuously developed throughout the project lifecycle in order to ensure the timely completion of the project while satisfying other requirements as well.",egy-code.md,1
6.1.1. Design BMP,"The BIM manager in the Design Team shall prepare the BMP and submit it to the client for approval. The Design BMP shall mainly cover the following points:
Plan for achieving the BIM requirements.Project schedule aligned with the development of BIM.The BIM software used by the team members in the various disciplines.Formats of the submitted files.Strategy for data transfer across disciplines and model sharing or exchange.The Level of Development of the model elements at each project phase.Strategy for including updates and changes that may occur during construction in the BIM final model.Strategy for energy model.",egy-code.md,1
6.1.2. Construction BMP,"The Contractor is required to submit a Construction BMP in which the Contractor shows the strategy for using the BIM technology in the construction activities. The Construction BMP shall mainly cover the following points:
Strategy used by the Contractor to comply with the BIM requirements in the project.
page_number20/page_number
The Egyptian Code for Building Information Modeling (BIM)
The BIM software that shall be used by the Contractor, subcontractors, and fabricators.The selected file formats and strategy for software compatibility.Strategy followed to ensure that all information from subcontractors is modelled.Strategy for digital fabrication.Proposed meetings for subcontractors that are integrated in the project schedule.
6.2. PROGRAMMING PHASE
The Programming phase of the project focuses on gathering information and setting the project team. In this phase there is often no BIM model yet, but the team starts analyzing the site’s topography and surroundings as well as the climate data (e.g. prevailing wind, solar availability, potential use of natural ventilation, etc.). The data gathered in this phase is considered as an essential input for the design of the project so as to achieve the required goals.
6.3. CONCEPTUAL DESIGN PHASE
The work-flow in this phase shall require bringing together knowledgeable, diverse and specialized team members by holding several meetings and by setting effective communication pathways.
In the planning of the project execution, both the design and construction teams shall identify the deliverables of their teams as well as the different milestones of the project.
In this phase, several deliverables shall be required which are:
Existing conditions model.Architectural massing model showing site arrangements and building geometries.Preliminary energy model.BIM Management plan.
6.4. SCHEMATIC DESIGN PHASE
In this phase, an initial design scheme is developed to define the general scope and conceptual design of the project showing the relationships between building components, and allowing the
Draft Edition –G01
page_number21/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
owner to verify that the architect has correctly interpreted the desired functional relationships between various activities.
The Design Team shall begin the design process using a BIM authored data file(s) in addition to using analysis tools, static images, and interactive 3D for better understanding the design concepts.
The Schematic Design Phase requires using a model with a Level of Development (LOD) 100 (Refer to the Level of Development).
In this phase, several deliverables shall be required which are:
Architectural modelCivil modelInitial interference reportSchematic energy model and analysisProjected energy cost reportSquare meter cost estimateProgram and Space validation
6.5. DETAILED DESIGN PHASE
In this phase, the Design Team continues to build on the schematic design decisions giving a clear and coordinated description of all aspects of the design including Architectural, Mechanical, Plumbing, Electrical and Fire Protection Systems and providing a basis for preparing the construction documents.
At the end of this phase, the client should receive drafted to-scale drawings that show the project’s site plan, floor plans, and exterior elevations. The design development drawings shall be used as the basis for the construction drawings and preliminary cost estimates. The Design Development Phase requires a model of a Level of Development (LOD) 200.
In this phase, several deliverables shall be required which are:
Architectural modelCivil modelMEP model(s)Structural modelDetailed energy modelSpecialty consultant model(s)Projected energy cost estimateSystems and energy cost estimate
Draft Edition –G01
page_number22/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
6.6. ANALYSIS PHASE
This phase involves the analysis of the developed detailed design so as to check its alignment with the previously set goals, and to check the coordination between the different building systems.
In this phase, several deliverables shall be required which are:
Structural model analysisMechanical analysisDetailed energy analysisDiscipline interference reportsProgram and space validationDesign analysisLighting analysis
6.7. DOCUMENTATION PHASE
In this phase, the detailed construction documents will be developed showing the requirements for the construction.
The construction documents consist of Drawings and Specifications that are necessary for the Contractor in order to build the project as conceived by the owner and architect. All information needed to describe the “detailed design” shall be derived from the BIM models provided only, except for the Specifications. Moreover, the documentation of the models shall not occur outside the BIM Authoring software.
The Documentation Phase requires minimum LOD 350 with LOD 400 as needed and agreed upon.
In this phase, several deliverables shall be required which are:
Draft Edition –G01
page_number23/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
6.8. CONSTRUCTION PHASE
In the Construction phase, design models and/or drawings will be released to the Contractor for reference only, and the Contractor shall develop the model with further details for construction and fabrication with fully annotated drawings for/by the sub-contractors.
The Design and Construction Team shall work concurrently and shall hold coordination meetings to resolve design conflicts or coordination issues. The model(s) shall be updated, when required, by both the Design Team and Contractor in order to incorporate any changes agreed on. Also, as-built mark-ups shall be maintained on site by the Contractor(s) during construction.
In this phase, several deliverables shall be required which are:
Concurrent As-Built models (Design and Construction teams)Discipline-specific coordination modelsShop drawing modelsFabrication modelsScheduling and phasing modelsCollision reports
6.9. PROJECT CLOSE-OUT
At the Project close-out phase, the needed documentation will be collected for the efficient operation of the space or for the study and preparations of future projects. For this process to be completed, the following requirements shall be fulfilled:
The consultant shall compare the detailed design against the final implementation (As-Built) according to the information provided by the Contractor.The Contractor develops the As-built model so that it can be used for the purposes of space management and building maintenance, or in case any modifications are to be made during occupancy.Operation and maintenance manuals are to be provided by the Contractor for the purpose of facility (asset) management.
6.10. OPERATIONAL PHASE
The transition between capital delivery phase and the operational phase is a critical process. The following sections provide a framework which the organizations shall follow. These provisions allow organizations and professionals to correctly manage the process of asset information exchange during the operational phase of an asset until demolition and disposal.
A detailed description of operational phase provisions is included in the following Section.
Draft Edition –G01
page_number24/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
6.11. MODEL COORDINATION IN PROJECT PHASES,"It is necessary for the project members to share and coordinate their models in order to resolve any potential conflicts and to avoid costly works and any possible delays at the construction stage. Thus, it is important to follow the recommended coordination flow for the project team throughout the different phases of the project lifecycle phases.
For example, the role of the Contractor in the project early stages from the conceptualization to the detailed design phase shall occur in case the project is issued as design-build.
⁵ Coordination Plan, retrieved from:BIM Execution Plan[Doc]. (2009). Indiana University-University Architect's Office.
Draft Edition –G01
page_number25/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Understanding the roles of the various stakeholders throughout the project phases depend to a great extent on the project requirements and conditions. As an example of some projects, the Architect and the Consulting Engineer can be formed as a single entity performing both roles.
Draft Edition –G01
page_number26/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
7. IMPLEMENTING INFORMATION EXCHANGE IN OPERATIONAL PHASE,"These provisions specify the asset information management process during the operational phase in five ways as follows:
It specifies how to develop an AIM to be used with existing enterprise systems to support the organizational information requirement (OIR).It covers the domain of recording information related to disposal, decommissioning or demolition of assets.It specifies data and information required by the AIM and illustrates their relationship to the PIM.It specifies the type and nature of data and information to be used in the information exchange and within the AIM.It enables revising the AIM as the asset changes, and providing criteria for AIM creation, validation, updating, maintaining, and monitoring.",egy-code.md,1
7.1. ASSET INFORMATION MANAGEMENT PROCESS,"The organization responsible for operating and/or maintaining such asset shall establish, document, implement, and maintain an Information Management Process (IMP) in compliance with the requirements of these provisions.
The IMP shall cover the life cycle of an asset starting from the handover after construction and delivery moving through operation, maintenance, minor and major works, and demolition.
page_number27/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
graph TD
    subgraph Information Management Process
        A[Organizational Information Requirements (OIR)] -->|Generates| B[Asset Information Requirements (AIR)]
        B -->|Specifies| C[Asset Information Model (AIM)]
        D[Linked enterprise systems] -->|Information Exchange| C
        E[Project Information Model (PIM)] -->|Contributes| C
        F[Asset management policy/ strategy]
        G[Asset management plan]
        H[BS ISO 55000]
It is recommended that the asset management policy, strategy, and plan be compatible with the requirements of BS ISO 55000⁶.",egy-code.md,1
7.2. REQUIREMENTS FOR ASSET INFORMATION MANAGEMENT PROCESS,"During the operation phase, the following requirements should be achieved:
Establish an IMP to direct, control, and assure that asset information is managed effectively; the IMP shall be compatible and consistent with the asset management strategies and plans which may be developed through BS ISO 55000.Establish the OIR to be compatible with the asset management activities as identified in the policy, strategy, and plan.Define the AIR that shall be met so as to satisfy the OIR, and also define the information exchanges by which data and information are to be transferred to and from the AIM.Define the mechanisms for checking the AIM validation with respect to creation, receiving, validating, verifying, storing, sharing, archiving, analyzing and reporting.Define data and information exchange interfaces between the AIM and other information systems.Define the mechanisms required for maintaining the AIM and checking its validity and quality so as to reflect the correct picture of the asset.
⁶ BS ISO 55000: A guide published by the British Standards Institution (BSI) that defines concepts and terminologies needed for developing a long-term asset management system that incorporates corporate mission, values, objectives, policies, and stakeholder requirements.
Draft Edition –G01
page_number28/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
7.2.1. Organization Information Requirement (OIR)
The organization shall determine and document the information requirement based on the asset management system in order to meet the organization function. The OIR shall be conveyed to in-house teams or external contractors through a task or project-specific AIR.
7.2.2. Asset Information Requirement (AIR)
AIR shall be specified, based on OIR, as part of a contract or as an instruction to in-house work teams. In addition, AIR shall specify the required data and information to be captured and fed into the AIM.
7.2.3. Asset Information Model (AIM)
Any information that might be needed by the organization shall be drawn from the AIM. Each asset may have its own AIM or multiple assets may be grouped in one AIM according to organization preference. The AIM shall then serve the organization need during the operational phase. The (AIM) acts as the only source for approved and validated information related to the asset(s).
The AIM model shall include data and geometry including but not limited to ownership, history, specification, design and analysis of the original installation of the asset and any subsequent changes, 3D object-based model(s) of the environment and the location of the asset, spaces, data about performance, operation and maintenance manuals, expenditure, health and safety information. The AIM shall be created using various reliable resources such as:
Surveys describing information and data of the physical asset.Exchange of data and information generated during the capital delivery phase.Exchange of data between AIM and enterprise systems.Existing PIM, after checking model validation and making sure that the PIM reflects the actual asset conditions.
Upon any update, the occurrence of any trigger related events, or receiving information from external sources, the AIM shall be authorized and accepted based on the information management process and then transferred to the Published part of CDE process (Refer to CDE).
page_number29/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
7.3. DATA AND INFORMATION WITHIN AIM
Definitions of data and information within the AIM shall enable organizations to meet their OIR. These definitions shall enable assets of multiple occupants and/or multiple uses to be recorded and analyzed. Besides, AIM users could understand the engineering, commercial or other reasons for the specification or installation of each significant asset.
7.4. PROCESSES FOR MAINTAINING THE AIM
The organization shall maintain the AIM by performing the following activities:
Assignment of roles and authorities to maintain, retain, retrieve, access to, and archive information and data.Data disposal, and unwanted information handling according to organization’s requirement and security and privacy requirement.Assurance activities, version control, integrity checks and validation checks, fitness for purpose with respect to AIR.Monitoring information exchange, quality of information, continuous update and verification to meet organizational needs.Requirements for the storage of information and data following integrity, security, and confidentiality requirements.Retrieval, distribution, and availability of information and data to designated parties according to agreed schedules or defined circumstances.Requirements for the archival of designated information and data, as in the case of retaining audit records and knowledge preservation.
7.5. DATA EXCHANGE BETWEEN AIM AND ENTERPRISE SYSTEMS
COBie may be the method of information exchange used. However, any procedure may be adopted for other applications which allows capturing and transferring of the information required at each exchange point, as well as facilitating its checking and validation.
page_number30/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
graph TD
    AIM[Asset Information Model (AIM)]
    ReportingSystem[Reporting System]
    FinancialSystem[Financial System]
    ITMS[Information Technology Management System]
    AssetUtilizationSystem[Asset Utilization System]
7.6. USE OF THE AIM
Existing/new AIM shall be identified/created at the inception of a trigger-related event and it shall be used as a repository for all the information related to the event works, as a means to access links to the information about the event works, e.g. to/from linked enterprise systems, as the means to receive information from other parties throughout the project stages, up to acceptance of the “as-built” PIM.
7.7. ROLES AND RESPONSIBILITIES
Roles and responsibilities shall be identified in the contract between owner and operator or maintainer, as discussed in the previous chapters.
Draft Edition –G01
page_number31/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
8. BIM EXECUTION PLAN (BEP),"BIM Execution Plan (BEP) of a project is a document that is developed by the BIM manager before commencing design documentation to ensure that all parties are aware of the benefits of including BIM into the project work-flow.
This section provides guidelines on the content that should be included in the BEP to assist project teams in developing their BEP, and in understanding the purpose of implementing this plan on the projects. Also, it includes guidelines on a structured procedure to be followed and monitored by the project team to create a complete BEP to gain the maximum benefits of implementing BIM on projects.",egy-code.md,1
